Producto,Fecha,Cantidad,Precio_unitario,Total_venta
Bolso,2022-12-13,76,33.08,2514.08
Gorra,2022-12-27,83,10.19,845.77
Bufanda,2022-09-27,68,26.26,1785.68
Gorra,2023-02-19,69,49.95,3446.55
Zapatos,2022-08-27,78,24.52,1912.56
Zapatos,2022-12-28,98,34.15,3346.7
Zapatos,2023-05-23,76,11.97,909.72
Zapatos,2022-11-30,95,42.45,4032.75
Bolso,2022-08-07,69,24.14,1665.66
Reloj,2023-05-08,65,17.53,1139.45
Bufanda,2022-08-11,52,14.01,728.52
Bolso,2022-12-22,100,35.9,3590.0
Reloj,2023-02-03,88,43.88,3861.44
Pantalón,2023-06-07,92,35.89,3301.88
Zapatos,2022-09-05,61,11.1,677.1
Reloj,2023-03-20,62,34.09,2113.58
Zapatos,2023-02-11,51,37.53,1914.03
Zapatos,2023-01-14,87,24.98,2173.26
Bolso,2023-07-29,63,49.22,3100.86
Camiseta,2022-09-12,72,18.43,1326.96
Pantalón,2023-07-03,65,45.1,2931.5
Bufanda,2023-02-25,75,30.13,2259.75
Camiseta,2022-08-09,61,19.8,1207.8
Camiseta,2022-12-30,59,47.76,2817.84
Bufanda,2023-02-16,53,46.6,2469.8
Bolso,2023-01-10,92,33.03,3038.76
Bolso,2023-03-01,95,34.97,3322.15
Pantalón,2023-04-26,78,36.89,2877.42
Zapatos,2023-03-24,91,16.13,1467.83
Reloj,2022-11-09,61,39.64,2418.04
Zapatos,2022-10-05,59,14.66,864.94
Reloj,2022-10-01,62,10.63,659.06
Pantalón,2022-12-14,66,23.11,1525.26
Zapatos,2023-03-29,95,49.44,4696.8
Reloj,2022-08-23,85,16.04,1363.4
Gorra,2023-06-09,66,20.59,1358.94
Bufanda,2023-07-10,68,47.94,3259.92
Bufanda,2022-08-22,74,24.4,1805.6
Bufanda,2023-06-17,91,29.36,2671.76
Zapatos,2023-04-21,84,39.04,3279.36
Reloj,2023-01-27,50,18.73,936.5
Bolso,2022-08-06,70,46.52,3256.4
Bolso,2022-09-30,61,47.49,2896.89
Bolso,2023-04-06,85,45.44,3862.4
Reloj,2023-03-27,92,12.91,1187.72
Bolso,2022-11-08,95,26.3,2498.5
Reloj,2022-10-15,70,45.86,3210.2
Zapatos,2022-12-21,87,41.87,3642.69
Bufanda,2023-05-20,51,32.73,1669.23
Zapatos,2023-06-14,57,43.08,2455.56
Reloj,2023-04-24,66,16.12,1063.92
Camiseta,2022-11-15,93,18.84,1752.12
